grid,ch,year,area,newID,Block,Ownership,asp_11,east_11,elev_11,tpi_11,nort_11,slop_11,tdiv_11,elsd_11,cvr_11,fhd_11,pa20_11,pa40_11,pa10_11,rh50_11,rh98_11
1,000000000000000000000000010110110000000000000000000000000000000000000000000000000000,2016,HJA,5036,H. J. Andrews,Willamette NF,0.063938284,-0.080816461,-0.004990588,-0.707054564,-0.514801268,0.152846903,0.286494849,-0.308112873,0.572409831,0.582959883,0.570599408,0.444937041,0.323861722,0.561386432,0.512854134
1,000000000000000000000000000000000000001000000000000000100000000000000000000000000000,2017,HJA,7524,H. J. Andrews,Willamette NF,0.063938284,-0.080816461,-0.004990588,-0.707054564,-0.514801268,0.152846903,0.286494849,-0.308112873,0.572409831,0.582959883,0.570599408,0.444937041,0.323861722,0.561386432,0.512854134
1,000000000000101111110000000000000000000000000000000000000000000000000000000000000000,2015,HJA,4805,H. J. Andrews,Willamette NF,0.063938284,-0.080816461,-0.004990588,-0.707054564,-0.514801268,0.152846903,0.286494849,-0.308112873,0.572409831,0.582959883,0.570599408,0.444937041,0.323861722,0.561386432,0.512854134
1,000000000000000000000000111001010000000000000000000000000000000000000000000000000000,2016,HJA,5306,H. J. Andrews,Willamette NF,0.063938284,-0.080816461,-0.004990588,-0.707054564,-0.514801268,0.152846903,0.286494849,-0.308112873,0.572409831,0.582959883,0.570599408,0.444937041,0.323861722,0.561386432,0.512854134
1,000110100000000000000000000000000000000000000000000000000000000000000000000000000000,2014,HJA,4483,H. J. Andrews,Willamette NF,0.063938284,-0.080816461,-0.004990588,-0.707054564,-0.514801268,0.152846903,0.286494849,-0.308112873,0.572409831,0.582959883,0.570599408,0.444937041,0.323861722,0.561386432,0.512854134
1,000000000000000000000000000000000000010000000000000000000000000000000000000000000000,2017,HJA,7463,H. J. Andrews,Willamette NF,0.063938284,-0.080816461,-0.004990588,-0.707054564,-0.514801268,0.152846903,0.286494849,-0.308112873,0.572409831,0.582959883,0.570599408,0.444937041,0.323861722,0.561386432,0.512854134
1,000000000000000000000000111111110000000000000000000000000000000000000000000000000000,2016,HJA,5170,H. J. Andrews,Willamette NF,0.063938284,-0.080816461,-0.004990588,-0.707054564,-0.514801268,0.152846903,0.286494849,-0.308112873,0.572409831,0.582959883,0.570599408,0.444937041,0.323861722,0.561386432,0.512854134
1,000000000000000000000000000000000000000000000000001000000000000000000000000000000000,2018,HJA,7642,H. J. Andrews,Willamette NF,0.063938284,-0.080816461,-0.004990588,-0.707054564,-0.514801268,0.152846903,0.286494849,-0.308112873,0.572409831,0.582959883,0.570599408,0.444937041,0.323861722,0.561386432,0.512854134
1,011110000000000000000000000000000000000000000000000000000000000000000000000000000000,2014,HJA,4355,H. J. Andrews,Willamette NF,0.063938284,-0.080816461,-0.004990588,-0.707054564,-0.514801268,0.152846903,0.286494849,-0.308112873,0.572409831,0.582959883,0.570599408,0.444937041,0.323861722,0.561386432,0.512854134
1,000000000000000000000000000000000000101000000000000000000000000000000000000000000000,2017,HJA,7413,H. J. Andrews,Willamette NF,0.063938284,-0.080816461,-0.004990588,-0.707054564,-0.514801268,0.152846903,0.286494849,-0.308112873,0.572409831,0.582959883,0.570599408,0.444937041,0.323861722,0.561386432,0.512854134
